,original,clase,clase_text
55,espanya    govern  exemple  solidaritat  acollida   ,15,immigracio
57,acabo  mantener  fructífera conversación   presidente joe biden         abordado  temas  interés común   especial   situación  afganistán   colaboración   gobiernos   evacuación  ciudadanos  ciudadanas   país   ,0,presidencia
61,  reivindicando  mejores valores  principios   ue   unidad   solidaridad   unidad     miembros   solidaridad    sufren       compromiso  protección   vidas    futuro         ,0,presidencia
67,     sembrado  semilla   corazón   afganos      tiempos  oscuros   recuerdo                         semilla  germinará          defendiendo  ddhh         laespañaquehacemos   ,15,immigracio
74, cumplen 13 años  fatídico accidente  vuelo  jk5022  spanair     fallecieron 154 personas    recuerdo   víctimas    afecto   familiares  amigos       memoria ,10,interior
78, gobierno         trabajando    crisis  afganistán    crisis  haití    ofreciendo   ayuda humanitaria  colaboración internacional necesaria               laespañaquehacemos   ,5,accio exterior i govern obert
80,  vuelo  repatriados   rumbo  dubái    mañana    06 30 horas   despegado   aeropuerto  kabul  avión a400m   fuerzas armadas    españa  evacuando   grupo  110 personas  afganistán ,15,immigracio
82,   registramos       iniciativa   situación   mujeres   niñas  afganistán      proposición   ley apuesta   apoyo internacional   situación   mujeres afganas   ,15,immigracio
97,  aprobación   ley  sociedad   humana    democrática     definitiva   sociedad      portavoz  derechos sociales  diputada  barcelona     defendió   leydeinfancia   pleno  15  abril  2021   ,11,drets socials
99, cumplen  años   terribles atentados   barcelona   cambrils     17a  volvemos   rambla  recordar  homenajear    víctimas    familias  frente  odio   barbarie terrorista   defenderemos  libertad   convivencia   democracia  ,10,interior
102,recordamos   víctimas   cuarto aniversario   atentados   barcelona   cambrils    apoyo  solidaridad   familias   frente  terrorismo  unidad   defensa   valores democráticos   convivencia   paz      memoria   17a  ,10,interior
103,cuarto aniversario   atentados   barcelona   cambrils     unimos   recuerdo emocionado   víctimas    apoyo   familias    defensa   valores democráticos   convivencia   paz frente  terrorismo        memoria   17a  ,10,interior
106, años    terribles atentados terroristas  barcelona  cambrils seguimos recordando   víctimas    familias    frente  odio   violencia seguiremos construyendo sociedades  diversas  tolerantes  libres    17agosto  ,10,interior
113,reconeixem  esforços        realitzar  necessària evacuació  repatriació    residents espanyols  personal  ambaixada    afganesos   col laborat  exèrcit   cooperació espanyola    temps  presència  país,15,immigracio
119,   situación  afganistán      prioridad   retorno    ciudadanos españoles     ciudadanos afganos   colaborado       riesgo   seguridad      fernando grande marlaska     ,10,interior
125, confirma assassinat masclista  dona  30 anys  sant vicenç  castellet  bages   malauradament   any   32  dones assassinades   avançar   lluita   xacra     suport  escalf   filla   familiars   víctima   ,4,igualtat i feminismes
129,         precio   luz       precio  mercado mayorista   traduce     factura    gobierno   trabajando      cargos   fiscalidad   cambios estructurales   laespañaquehacemos   psc     ,0,presidencia
132, gobierno   mantener      escudo social     tratamiento fiscal adecuado  paliar  precio   factura   luz   consumidores    impulso programas  techos solares  autoconsumo    laespañaquehacemos           ,0,presidencia
133, gobierno        día     eliminar  impuesto      facilitar  autoconsumo    proteger  consumidor vulnerable    laespañaquehacemos           ,8,accio climatica alimentacio i agenda rural
135, vacunación  españa avanza imparable gracias     profesionales sanitarios    29m  personas   pauta completa   situamos    país  mundo    porcentaje  población     dosis   seguimos     ,9,salut
145, días    dejo  recomendación cultural   verano   disco  voice      hiromi uehara   gracias    infolibre   espero   guste       ,12,cultura
157,  fortalecer  medidas   consumidores vulnerables  consumidores medios       dedicamos      recursos  financiar  medidas            ,0,presidencia
165, catalunya compta   govern compleix  escenari  esperançador    deixo article   publica    relació   implicació  govern  enfortir economia    benestar      ,3,economia i hisenda
170, territorios  pagan impuestos      pagan  personas residan  residan    rentas   decían    madrid   ahorrado 16 000 euros     falacia     beneficiado            zaragoza      ,3,economia i hisenda
177,informe  evaluación global  naciones unidas     alteraciones  sistema climático   precedentes     modificaciones    subida  nivel  mar   irreversibles  miles  años  alertan  expertos  ipcc   ,8,accio climatica alimentacio i agenda rural
182,   diálogo obliga  independentismo  salir   relato permanente    diputado    cat   congreso   zaragoza      rne  necesitamos abandonar  10 años  proceso   cataluña    aportado     ,0,presidencia
193, actuaciones  desarrollo  hub  barcelona crearán    espacio natural  delta  llobregat     superficie adicional protegida medioambientalmente  25   relación   actual     artículo      ,2,empresa i treball
194,    actuaciones  desarrollo  hub  barcelona compensarían  zonas  especial protección   red natura 2000 afectadas  crearían   espacio natural  delta  llobregat       tribuna          psc      ,2,empresa i treball
198, president aragonès  pot deixar  cadira buida   conferència  presidents   tracten temes fonamentals   pandèmia   recuperació econòmica   catalunya    comunitat autònoma  s  quedat     representació   inconcebible ,0,presidencia
203, profunda tristeza recibo  noticia  fallecimiento   actriz  activista pilar bardem  traslado  condolencias   hijos  familia  amistades  compañeros  compañeras  profesión   memoria  mantendrá  viva     ,12,cultura
209, s  reunit   governalternatiu   valorat  preocupació  5a onada   covid19   aprovat    xoc  recull 26 accions socials englobades  6 eixos acció   beneficiarien  2 700 000 catalans  catalanes    inversió     1 500m  ,12,cultura
210,43 anys   unitat socialista  catalunya  43 anys  servei  treballadors   treballadores   classes populars  43 anys  servei   societat catalana    anys  psc   ,2,empresa i treball
222,  europa     respondido   retos   crisis   demostrado   actuar   coordinada defendiendo  intereses  450 millones  habitantes   europa   reafirmado    proyecto          foropsoeex  juntosmásfuertes      ,5,accio exterior i govern obert
234,    vespre    té  possibilitat  pujar   divisió        passat  tarda fent  prèvia  partit   penya jovent gironí   penya immortal    girona   ,12,cultura
235,  retrobament  socialistes catalans  valencians    illes balears  barcelona       ministre   secretari       oposició  catalunya     presidenta       armengol   president            psc    ,0,presidencia
239,     ampliació  aeroport  prat    catalunya necessita avançar       avançar  necessita   infraestructura  important   connecta   món s adapti  ritme  creixement  catalunya       psc     ,1,vicepresidencia i politiques digitals i territori
242,    22h    oposició      entrevistat   3cat      324cat    psc     ,0,presidencia
243,desitjo   sort  estudiants     divendres s examinaran   proves  pau21cat     darrer any    sigut dur    queda   empenta ,12,cultura
244,   constituïm  govern alternatiu     permetre orientar  tasca oposició  configurar  alternativa  govern progressista  responsable  dialogant    llegeix  carta     lliurat  consellers    governalternatiu  catalunya   ,0,presidencia
251,         abraçar  principis constitucionals  justícia   diàleg   retrobament   catalans   resta espanyols  europa    psc     ,0,presidencia
254,enhorabona    èxits  javier pacheco    convenciment  seguirem compartint ideals  lluites    vista posada   reconstrucció social   reactivació econòmica  catalunya   ,12,cultura
259, hora  desterrar  bloqueig   confrontació   hora  torni catalunya        hora  planificar  seny  actuar   dosis correctes  rauxa  sortir  forts   units  crisi econòmica  social  precedents ,0,presidencia
260,   excuses   hora aixecar  sanitaris inèdits   socialdemocràcia   hora  retrobament  esquerra    fer possible  retrobament  catalans  catalanes   hora  mirar    recuperar  il lusió ,0,presidencia
270,    11 h     entrevistat  directe             psc    ,0,presidencia
277,  4m  madrileños   madrileñas podéis romper  círculo vicioso      voto  paráis  crispación       futuro  madrid pasa        madrid    hora   paso    gobernar  serio             palabradepresidente  ,0,presidencia
287,     escalf   recasens   família perica  especialment    desitgem   recuperis   puguem celebrar ascens plegats    abraçada       familia  amics    segur t  acompanyant  superar    recasensisme     ,9,salut
290,  visitat        lleida    constatem  setmana   necessitat urgent   govern  catalunya    reclamo  presentar   candidatura   investidura  formar  govern esquerres  atengui  necessitats reals  catalunya   ,0,presidencia
297,  energía  salir    govern  ausente       psc   candidatura   encabecé  llamados  liderar  alternativa         entrevista           psc     ,0,presidencia
298,esport   transmissor  valors  homofòbia  pot   cabuda   inadmissibles actituds      patir  víctor     suport  1  treballem junts  aconseguir  societat igualitària  volem   ,4,igualtat i feminismes
300,  reunit  representants  associació empresarial química  tarragona         celebrat  trobada   líders sindicals        2 3  ,12,cultura
308,   evitar  gobierno   plaza  colón   alternativa  gobierno  colón      gobierno  serio      demasiado tarde        gobierno  serio   plan  choque económico  sanitario          gobernarenserio  ,0,presidencia
314, futuro  madrid pasa   sensatez   solvencia   futuro  madrid pasa   cambio  rasante   futuro  madrid pasa  abrir   etapa        futuro  madrid pasa                gobernarenserio  ,0,presidencia
317,    gobierno  madrid    leal   ayuso   centrado   atacar  gobierno  españa    proteger  madrid    ciudadanos   falta hacía     antipolítica  fanatismo  espectáculo   sabéis dónde             gobernarenserio  ,0,presidencia
318,  ángel   coraje      llegado       moderados elijan     coraje   gobierno  serio   bronca    coraje  sentido común   gobierno  españa   plaza  colón   coraje              gobernarenserio  ,0,presidencia
319,   diamundialautisme   comprometo  treballar decididament   societat plenament inclusiva    tingui   drets  oportunitats garantides   ,4,igualtat i feminismes
326,      rebut  representants  treballadors    esp   treballarem conjuntament  assegurar  sortida industrial  tancament  nissan    viable   temps   garanteixi  màxim  llocs  feina   ,12,cultura
328,  deixat  dr  josep balsega  oncòleg        referent mundial   lluita   càncer   gràcies    incalculable contribució   ciència   envio    afecte  escalf   familiars  amistats  companys  professió   ,4,igualtat i feminismes
333,     visitat    cns   s instal larà  supercomputador europeu mare nostrum 5   inversió  ciència  important    reforçar  innovació     impacte   territori  generant llocs  treball  riquesa   ,1,vicepresidencia i politiques digitals i territori
334,      analitzat  situació   infància   joventut  catalunya  representants          18    compromesos   igualtat oportunitats  infants   millora  finançament   polítiques  sector   ,12,cultura
337,      visitat  centre emergències      analitzar  situació social   famílies  vulnerables    responsables     sortir plegats  situació  catalunya  pot deixar     ,12,cultura
341,   cmin  aprovat  línia  7 000m   ajudes directes  empreses  autònoms   transferiran   ccaa    generalitat   gestionar    ajuda necessària  teixit productiu català       patint   moments   ,2,empresa i treball
347, tarda m  reunit   comitè empresa  bosch  lliçà   catalunya necessita  teixit industrial fort    sector  automoció  clau    progrés econòmic       cat   costat  treballadors  treballadores   ,2,empresa i treball
353,condemno rotundament  vandalisme   violència   intimidació   desperfectes  mobiliari urbà   establiments  viu barcelona  nit   reclamo  govern  posi    feina  cossos  seguretat    tasca   garanteixi  seguretat  catalunya,10,interior
358, gràcies    persones   fer possible   jornada electoral  celebrés  normalitat    gràcies    persones   posar  vot     començo  fer  canvi  catalunya        cat   partit  catalunya  ,0,presidencia
385, enhorabuena   3    oro  españa   juegos paralímpicos   tokyo2020   cuarta medalla paralímpica   cordobés alfonso cabello   alcanzado   récord  mundo   prueba  kilómetro contrarreloj   bravo    hacemosequipo     ,9,salut
392,interesting piece by       the spanish government led by    deployed since 2018 an  economicpolicy roadmap based  fiscal responsibility  social justice and progressive structural reforms for green amp digital amp gender balanced amp  growth  ,15,immigracio
395, incendios  vuelto  golpearnos duramente  verano   toca ayudar    sufrido  efectos     catástrofes naturales          gobierno  habilitamos  ayudas necesarias  asegurar   afectados  recuperación justa   cmin  ,8,accio climatica alimentacio i agenda rural
398,  directo  portavoz  gobierno  ministra     isabel rodríguez  comparece  rueda  prensa  explicar  acuerdos   cmin   ,1,vicepresidencia i politiques digitals i territori
399,  suerte       tokyo2020       esfuerzo   capacidad  superación      demostrar      jjoo    sumar  triunfos  españa entera   apoyando      familiaparalímpica  paralympics  ,12,cultura
402,     justicia2030  anteproyecto  ley  eficiencia digital integrará   herramientas tecnológicas    ciudadano  relacione    administracióndejusticia   paso indispensable   plan  modernización   justicia2030    ,1,vicepresidencia i politiques digitals i territori
406, have just had  meaningful conversation with president joe biden     in which we have addressed several topics of common interest  particullarly the situation in afghanistan and the collaboration between our both governments in the evacuation of citizens from that country ,0,presidencia
408,acaba  aterrizar  españa   avión  servicio europeo  acción exterior  procedente  parís   36 personas evacuadas  afganistán    vuelo      110 refugiados   unión europea   acogido   hub   base militar  torrejón   ,15,immigracio
411,europe and spain are responding in these moments of great sorrow for the afghan people  particularly for women and girls  we act based  the basic values of the european project  unity and solidarity   thanks      and   for your support   ,15,immigracio
415,españa  apoyando  haití    terremoto  colaboramos         terreno  mejorar  acceso  agua potable     enviado 10 toneladas  material médico   cooperación internacional  clave    pueblo haitiano  recupere ,5,accio exterior i govern obert
417,comunicado defensa  asuntos exteriores    noche saldrá  avión a400m    fas  dubái  kabul  recogerá   grupo  personas   país evacuará  afganistán   salida  dubái  kabul  prevista   03 00   mañana hora española ,15,immigracio
420,     ministra      ministro      seguido  desarrollo  dispositivo  llegada   avión  repatriación a400  kabul   trabajando    operación  evacuación  afganistán  desarrolle   máxima seguridad   ,5,accio exterior i govern obert
422,poesía   imposible    arpa      cuerdas corazones  llamas  federico garcía lorca escribía  versos  inicio   carrera  85 años    fusilamiento   obra   legado   forma  observar  entender  realidad siguen presentes   ,4,igualtat i feminismes
429,atento    situación   ifazuébar   castellón    solidaridad   vecinos  vecinas desalojados  imagino  dolor  preocupación   inmenso agradecimiento    brif     protección civil     servicios  emergencias  luchan   fuego ,8,accio climatica alimentacio i agenda rural
430,pendientes   evolución   próximas horas  fuego   arrasando parajes naturales     raso  navalacruz  cepeda  mora   ávila  gracias   servicios  emergencias        responsables  prudentes   elevado riesgo  incendios ,10,interior
437, reapertura   casa museo josé saramago    noticia   espacios sirven  inspiración   sociedad     noviembre  celebrará  conmemoración  centenario  escritor   vuelta   actividad cultural  clave   recuperación   normalidad  ,12,cultura
441, mujer   asesinada  sevilla   pareja     semanas    violenciadegénero  golpea   fuerza    permitirlo  sigamos trabajando  educación  prevención  acabar   tipo  violencia   mujeres     cariño   familia   ,4,igualtat i feminismes
442, zonas  españa alcanzarán   temperaturas superiores  40     riesgo  incendios   prudentes    salud   sigamos  indicaciones          fcse    días trabajarán  protegernos    oladecalor  ,8,accio climatica alimentacio i agenda rural
446,   minutos  vértigo    hispanos  balonmano suman  medalla  españa   fuerza    equipo   tokyo2020     enhorabuena       bronce   merecido    generación histórica    elcorazóndeespaña  hacemosequipo  ,9,salut
450,españa lidera  proceso  vacunación   28 millones  compatriotas        59      pauta completa    69      dosis         lograr  objetivo  70    población totalmente vacunada   yomevacunoseguro  ,9,salut
451, oro      estreno   escalada  modalidad olímpica   tokyo2020    medalla  coloca  cacereño   historia   juegos olímpicos     disfrutar    prueba  enhorabuena  alberto    elcorazóndeespaña  ,9,salut
452, oro        kata final  bravo     deportista   historia  kárate   país vuelve  darnos  enorme alegría   tokyo2020     enhorabuena     merecida medalla  oro  sandra     elcorazóndeespaña  ,9,salut
457,  gobierno   cumplimos2021     consecutiva   delegados  delegadas  gobierno     rinden cuentas   compromisos cumplidos   1  semestre  2021      pandemia    gobierno avanzamos   hoja  ruta  cumplimos   ccaa  ,0,presidencia
459, solidaridad  cariño   familia   mujer asesinada  rincón   victoria  málaga   29 crímenes machistas  año  1 107  2003    acostumbrarnos   horror  necesitamos  implicación  conjunto   sociedad  frenar   violenciamachista   ,4,igualtat i feminismes
460,   décima medalla  españa   tokyo2020   espléndida competición  barcelonés jordi xammar   vigués nicolás rodríguez   alcanzado   madrugada   bronce  470  vela     enhorabuena       rdgz gp      hacemosequipo   elcorazóndeespaña  ,9,salut
465,  directo  rueda  prensa   portavoz  gobierno  isabel rodríguez   vicepresidenta  ministra     teresa ribera   explicar  acuerdos   cmin    ,1,vicepresidencia i politiques digitals i territori
468, vamosespaña     joan cardona  cuelga  bronce  vela   juegos   tokyo2020   remontada impresionante    metros  meta    felicidades       medalla     elcorazóndeespaña  ,9,salut
476, grandísimo  ray zapata      bordado  ejercicio impecable    medalla  plata   sexta    juegos   tokyo2020   país   enhorabuena        elcorazóndeespaña  ,9,salut
477,españa  cuelga   medalla   partido emocionante       mano  asturiano pablo carreño   tennis     enhorabuena   medalla  bronce   tokyo2020   1    elcorazóndeespaña  ,9,salut
481,  directo  comparecencia   ministra     portavoz  gobierno  isabel rodríguez    xxiv conferencia  presidentes as autonómicos    celebrado   salamanca   ,1,vicepresidencia i politiques digitals i territori
486,termina  xxiv conferencia  presidentes as   vacunación   gestión   fondos europeos   recuperación   reto demográfico     temas    reuniones    imprescindibles   respuesta   problemas reales   ciudadanía  1 5  ,9,salut
501, jefe  ejecutivo      asistido    toma  posesión   altos cargos   presidencia  gobierno   palacio   moncloa        ,5,accio exterior i govern obert
502, rebajas históricas   autopista ap 9 entrarán  vigor   00 00 horas   noche   real decreto    bonificaciones   publicado       cumplimos  galicia   ahorro  galicia     info   ,15,immigracio
503, economía española recuperará  2022  nivel previo   pandemia       aprobación  techo  gasto  ponemos  marcha  proceso   presupuestos 2022  sigan impulsando     planderecuperación     crecimiento  sólido  sostenible  inclusivo   ,3,economia i hisenda
505,   aprobado   cmin medidas urgentes frente    violenciamachista   mejorar  detección precoz   acompañamiento   víctimas  implicar   sociedad   erradicación   violencia   mujeres   necesitamos      lucha   ,4,igualtat i feminismes
508,  directo rueda  prensa posterior   cmin   portavoz  gobierno  isabel rodríguez   vicepresidenta  ministra    minecogob  nadia calviño    ministra     maría jesús montero   ,1,vicepresidencia i politiques digitals i territori
510, espectacular  maialen chourraut     medalla consecutiva   juegos olímpicos   leyenda   deporte   k1 slalom   medalla  españa   tokyo2020   enhorabuena   plata       elcorazondeespaña  ,9,salut
512, enhorabuena  david valero      bronce     oro   remontada épica   medalla  españa   juegos olímpicos   tokyo2020   prueba  mountain bike     elcorazóndeespaña  ,9,salut
527,          potencial tecnológico  españa   medidas   impulsando   gobierno  maximizar  ventajas   transición digital     temas    hablaremos    ,0,presidencia
529,today   met with   cook in cupertino  spain knows that the digital transformation is  priority and our  recoveryplan offers   unique opportunity to take  this challenge  there is  better time for tech giants like apple to invest in our country   ,15,immigracio
531,arrancan  jjoo   tokyo2020    juegos  esperados  especiales    muestra  superación    enormes valores  infunde  deporte      éxitos     deportistas    distancia    país   apoyando     elcorazóndeespaña  ,9,salut
538,we  honored to show spain s president    amp    our work  spain hosts and staffs one of   s deep space network complexes and provided instruments to    amp     space is  big place and working together is  sure way to take it    ,15,immigracio
541,    ángeles  visitamos  jet propulsion laboratory      colaboran científicos españoles   investigación espacial    ámbito    estrechar  cooperación españa ee uu  avanzar   transformación tecnológica    d    prioridad   ,7,recerca i universitats
542, pg     continúa  viaje  ee uu     ángeles     visita  jet propulsion lab        inauguración      ángeles  evento      entrevista       encuentro  ceos audiovisuales   evento españa hub audiovisual,9,salut
543,  25 millones  personas    pauta completa  españa  superamos   hito   vacunación  avanzando imparables   objetivo   inmunización colectiva           pandemia  seguimos     yomevacunoseguro  ,9,salut
555, pleasure to be    joe today  spain is defining the roadmap to modernize its economy and wants to count  the  private sector  that is why we travelled here  both countries must be allies in the face of great global challenges   ,15,immigracio
562,   gob   españa    transferencia económica   ccaa        16 000 millones     año      13 500 millones     año     educación   prioritaria   reparto   fondos        alegria     ,6,educacio
564,  datos      abandonar  prudencia   respeto   medidas  higiene  fundamental       lavado  manos     mascarillas     ventilación frecuente        alegria     ,9,salut
572,seguimos  atención  labores  rescate    llevando  cabo  peñíscola  lamentamos profundamente  noticia  fallecimiento   joven  15 años     cariño   familia    apoyo   equipos  emergencia    ,4,igualtat i feminismes
573, medalla  plata    llega   piscina        tokyo2020        fantástico toni ponce           medalla paralímpica     bravo   87     final    españoles         26  orgullosos       ,9,salut
584,ustedes pensaban     gobierno débil    oposición dura iba  tumbar        encontrado  gobierno resiliente       dedica   promoción económica   imagen   país   marco  diplomacia económica        diputación permanente  ,3,economia i hisenda
585,enhorabuena   atleta paralímpico  76   inaugura  medallero   teamesp      juegos paralímpicos   tokyo2020   merecida medalla     50 metros braza s3       familiaparalimpica    ,9,salut
594,triste  atadura  pp  cs   ultraderecha    almeida elimina  callejero  nombre  justa freire  profesora  luchadora   igualdad  oportunidades   coloca   general franquista     libertad    insulto    memoriademocrática  ,4,igualtat i feminismes
595,intentaron borrar  miguel hernández     3 000 ejecutados   almudena     tocado  justa freire      partido popular vuelve  posicionarse    ultraderecha      libertad    insulto    memoriademocrática    ,4,igualtat i feminismes
598, ocurrido   mar menor  fruto   inacción    gob  murciano    ejercer  competencias     gob        asunto  absoluta sensibilidad   proyectos concretos   recuperación   ecosistemas   zona           cmin  ,8,accio climatica alimentacio i agenda rural
603,garantizar   adquisitivo   pensiones  reforzar  sostenibilidad financiera  social    objetivo      dotar  sistema  certidumbre    mantenimiento   pensiones  continuar trabajando  respaldar  equilibrio  sistema     cmin  ,8,accio climatica alimentacio i agenda rural
627,  gobernar     gente    gobernar   izquierda    gobernar  odio    gobernar  progresismo     españasinodio  ,0,presidencia
632,   directo  comparecencia  presidente  gobierno     vicepresidenta   ministra         zonas afectadas   incendios  ávila    laespañaquehacemos   ,1,vicepresidencia i politiques digitals i territori
633,  días     presidente  gobierno    visitará    vicepresidenta   ministra        zonas afectadas   incendios  ávila     síguela     11 00   redes   ,10,interior
636, cumplido  32 8    1 463 compromisos adquiridos      previsión  38 2     semestre     laespañaquehacemos     ,15,immigracio
650,seguimos dando pasos firmes                        ley   eutanasia      ley   memoriademocrática      ley    cambioclimático     laespañaquehacemos     ,9,salut
653, evacuación realizada   tropas españolas  kabul  portada        solidaridad  compromiso mostrados     descanso     operativo  motivo  orgullo     ,10,interior
660,         transición energética    aumentar  eficiencia energética   viviendas  vehículos     fomentar  penetración   energías renovables   objetivo   energía  limpia  barata             ,7,recerca i universitats
665, viviendo  situación dramática        sociedad      socialistas    responden   altura   circunstancias                  sr  casado    centra  atacar  gobierno            juanespadas    félix bolaños  ,0,presidencia
668, memoria democrática significa capacidad  resiliencia   igualdad  justicia  reparación  dignidad        compartir  valores     derechos humanos   memoria  educación   historia    futuro  hablar   sociedad  capaz         juanespadas  ,13,justicia
680,impulsamos  ley    quiénes   quiénes        humanitarios   familias  sufrieron   carnes  represalia franquista      reparar moralmente   víctimas  fomentar valores democráticos     pormemoriademocrática       félix bolaños  ,13,justicia
696,continuamos  día   entrevista  ministro      fernando grande marlaska          pierdas            13 00h     puedes seguirla  directo      ,9,salut
704,  días      comenzamos  martes   entrevista  ministro      fernando grande marlaska     rne          9 00h     puedes seguirla  directo      ,0,presidencia
710,   reunit   hezkuntza sailburua      equip    conseller educació basc  compartit projectes  reptes  iniciem   etapa  cooperació   voluntat aprendre  treballar conjuntament  ,12,cultura
715,  discursos odi entren   institucions   legitima  violència política  carrer     suport alcalde      ,13,justicia
722,lucidesa  claredat     dit    canvi estructural  sistema energètic   torni   públic     bé comú  bona feina        ,8,accio climatica alimentacio i agenda rural
725,   mercat energètic espanyol   estafa   model basat   grans oligopolis energètics   mans  capitalisme  ferotge     portes giratòries   presents        donar   tomb   persones  centre  preus justos  lliure oligopolis   ,8,accio climatica alimentacio i agenda rural
726,alba vergés    modular  comportament  gent lliure     difícil   pandèmia   ,0,presidencia
729,  esdansa2021 reivindiquem  importància   cultura   especialment  cultura popular   ànima   poble      celebrem  compromís  treball    fer visible  dansa tradicional   expressió cultural viva  actual   anycubeles  ,12,cultura
731,  participat   manifestació  associació  afghans  barcelona   plaça sant jaume  barcelona   centenars  persones   viuen  catalunya   demanat  protecció  evacuació    famílies  s  quedat  afganistan   ,15,immigracio
739,  recibo   luz  2   ,3,economia i hisenda
744,        cat   conseller    s  referit   obres dutes  terme  any     435 centres    actuacions  centren   obres  rehabilitació  modernització  centres  existents     millora  eficiència energètica edificis antics  ,6,educacio
752,   tindrem   casa   pauta completa       vegades  procés ràpid   organitzat  eficient  perfecte     deixeu  vacunar     lacovidnofavacances       ,9,salut
761,vull expressar   condol  traspàs  xavier mercadé   fotoperiodista musical  país   marxat  hora        deixat  llegat fotogràfic magistral     abraçada    família  amics     companys     ,12,cultura
765,  enhorabona          aconseguit    bookingkellys  yoreservoconlaskellys   ,7,recerca i universitats
768,  estiu  llibertat   mesos  indult  presos polítics         ,13,justicia
796,  vídeo    2  mesos     presos  preses polítiques  sortir   presó          explicat    3cat   sigut   setmanes   plans  futur tenen    ,0,presidencia
811, difícil   espanyol  té  interès  reconèixer   independència    guanyar    vot   gent   procés    democràtic     esforcem   intentem   fàcil  convèncer   gent  explica  ,0,presidencia
815, república  fet veritables ciutadans  reivindicava  victòria pujolar amat  republicana  antifeixista    pionera  emprar  català   ràdio  pirenaica      animo  descobrir    celebrar  centenari   naixement       anyvictòriapujolaramat  ,0,presidencia
816,        assistit   taula rodona  espoliació patrimonia           alberto  carme berlabé   bisbe   lleida  salvador giménez  organitzada   marc    cat   ,12,cultura
825,   xifra     disposat  arribar  govern espanyol   2015      17 337 persones  via  reassentament  reubicació     completar    11       banda     licituds asil resoltes   2020       favorables  5    ,15,immigracio
830,  perfil  sabies       sort    mestra  llengua catalana maria mercè marçal  feia     bup   1 0  coses    sabies   secretari  política  treball   erc    ,6,educacio
833, secretari  política lingüística      intervenir      cat   exposar  línies prioritàries  treball   fil ,12,cultura
838,avançant  segurament   camí  efectiu  vàlid   referendum   l snp   verds acorden  fer  referèndum independència   legislatura  ,0,presidencia
839,sequía   erc  bildu exigen  comparecencia   congreso  presidente  iberdrola   vaciamiento  pantanos   via  ,2,empresa i treball
840,  suport  23s    farsa repressiva  solidaritat   ,13,justicia
841,    cat      conferència   espoliació patrimonial      intervenen  carme berlabé    alberto  salvador giménez          lleida  patrimoni  ,12,cultura
843,    erc       registramos  solicitud  comparecencia  presidente  iberdrola  ignacio sánchez galán   vaciado  embalses     maximizar  generación  electricidad     ,2,empresa i treball
845,   suport    23s   acabar     persecució judicial  política       costat   democràcia   llibertat     ,0,presidencia
