,text,Prediction
0,     zaragoza   pp      comparecencias  piden obvian   gobierno  relaciona    ccaa    piden comparecencias  temas relacionados  cataluña       ustedes  buscan  enfrentamiento   solucionar  problema    psc     ,presidencia
0,      pp      precipitación  conduce    ridículo        24h      pasando   vacunas      pasando  afganistan    máximos responsables europeos  biden ponen    acción  gobierno    psc     ,presidencia
0,       catalunya   ganes  girar full    anys     bons     catalunya     present   debats   afecten       defensar  model  espanya     psc     ,interior
0,  catalunya     present   debats   afecten               psc      ,presidencia
0,  conferència         treball  unir  aposta   cogovernança   lliçons   pandèmia   camí  diàleg  trobar solucions     espanya     consensos  optimisme  ,cultura
0,   compartit plantejaments comuns  n    qüestions cabdals   recuperació social  econòmica   finançament    diàleg   treball conjunt  ,empresa i treball
0,   plaer    gràcies  estona   treball   convençuda  podrem avançar plegades   ,autopromocio
0,  portaveu      reuneix     consellera hisenda  relacions exteriors  govern   illes balears       psc     ,presidencia
0,  matí     oposició  catalunya     s  reunit    armengol  presidenta   illes balears   palma    psc     ,presidencia
0, tarde  llegado  españa   avión procedente  afganistán  290 afganas    bordo   madrugada  prevista  llegada   145 pasajeros   infinitas gracias    personas   trabajando incansablemente     traslados   ,inmigracio
0,iceta impulsará  transposición   norma europea  derechos  autor   diario   efe   vía  ,presidencia
0,    alternativa real  nacionalisme identitari  independentisme        socialistes volem reiterar   poble    condemnats  viure   engany permanent in eternum      m ibarra        psc       ,presidencia
0,  semana  visto    realidades paralelas     hechos     pp        imagen vale    palabras     repaso visual   semana vivida   partido popular        ,presidencia
0,   exministre  sanitat gestor   crisi   pandèmia   parlarà  futur  reptes  oportunitats  vindran  imprescindible registrar   assistir       25 agost   12 30h    fundació    c  concepció  12  palma   ,autopromocio
0,           transformar aeroport   hub internacional  cometríem  error  tenint  coratge abordar  debat       garanties mediambientals    psc     ,presidencia
0,            important   reprengui  taula  diàleg  expectatives realistes     diàleg  catalans s   produir       camí    trobar mínims comuns denominadors   respecte     psc     ,presidencia
0,           majoria   investidura  aprovat 2 pressupostos  10 anys   1  gener      pot passar any 2022     psc   treballant   necessitin  ciutadans    psc     ,interior
0,              fet  feina excel lent     congrés extraordinari    fer   congrés  govern  catalunya  objectiu     partit    governar catalunya    psc     ,presidencia
0,          toca fer  relleu   direcció  partit     executiva  dimarts vinent    donarà  explicacions pertinents   prendrem  decisió     millor moment  fer  congrés extraordinari    psc     ,presidencia
0,    9 20 h     oposició  catalunya      entrevistat          psc     ,presidencia
0, ministro  cultura  deporte       reunido  tarde  representantes  distintas asociaciones  productores   cine   audiovisual   animación     encuentro   ministro  querido escuchar   mano  necesidades  sector   ,autopromocio
0,llega   país   avión   260 personas repatriadas  afganistán  despegaron  madrugada  kabul    escala  dubái     torrejón   españa    solidaridad  humanidad    seguir trabajando  ayudar     necesitan   ,inmigracio
0,    9 20 h     oposició  catalunya      entrevistat       psc     ,presidencia
0, invito  leer   post afganistán  españa  liderazgo   desafío internacional   mercè perea        cat    ,accio exterior i govern obert
0,            línies vermelles    treballar   famílies vulnerables    pobresa  creix  catalunya  any      apostar  coneixement   innovació    psc     ,presidencia
0,1   cat  aprovar  nous pressupostos 2022    prorrogar      establir noves prioritats  educació  salut  pol socials  indústria  innovació 2    país necessita nous pressupostos  x  diem     n surt   majoria parlamentària  cup   parlar  ,presidencia
0,  portaveu             s   fer  sanitaris  psc    s    dialogar     tema      president aragonès digui   psc     sembla  bon començament    psc    ,presidencia
0, grupo    supervisa  operación  repatriación  contingente español  afganistán mantiene   reunión  mañana   moncloa    presidida   presidente  gobierno         participación  7 ministerios   ,presidencia
0,arribada  vacunes  s atura   setmana    lliurat   generalitat 372 060 dosis  pfizer    enviat       vacunació  clau  minimitzar impacte    pandèmia  restablir  funcionament normal   societat  seguim   ,presidencia
0,  publicada  convocatoria  repartir 1 000 millones  euros   fondos  nextgenerationeu     ayuntamientos  solicitar  primeras ayudas  transformar  movilidad  mejorar  calidad  aire   ciudades     planderecuperación   marcha   ,presidencia
0, objetivo  hub  torrejón    instalación  tránsito provisional        acogedora     identifique    personas    llegado colaboradores      derivarán   aliados                    ,interior
0,   españa   177 personas repatriadas    horas  afganistán   110 afganos colaboradores  españa   67 colaboradores  ee uu    ministra      jemad reciben   séptimo avión   base aérea  torrejón  seguimos   ,inmigracio
0,espanya    govern  exemple  solidaritat  acollida   ,interior
0,visita  mañana   presidente  sg     zonas afectadas   incendios  ávila   reconociendo personalmente    compromiso      colaborado  extinguirlo      duras    maduras     laespañaquehacemos      ,presidencia
0,acabo  mantener  fructífera conversación   presidente joe biden         abordado  temas  interés común   especial   situación  afganistán   colaboración   gobiernos   evacuación  ciudadanos  ciudadanas   país   ,presidencia
0,sánchez  biden acuerdan   bases  rota  morón  acoger  afganos   periódico   efe    ,interior
0,alícia romero  iceta    secretario   etapa  difícil   toca  relevo natural    via       cat,educacio
0,    sigut  secretari   etapa  difícil   deixat  partit  cohesionat  fort     toca  relleu natural       entrevista       cat    psc     ,presidencia
0,  reivindicando  mejores valores  principios   ue   unidad   solidaridad   unidad     miembros   solidaridad    sufren       compromiso  protección   vidas    futuro         ,presidencia
0,   presidente  gobierno      visitado  mañana   hub   recepción instalado   base aérea  torrejón  ardoz  juntamente             laespañaquehacemos   ,presidencia
0, apoyo  gratitud           gobierno      liderazgo   españa  mostrado  humanidad    sentido   solidaridad     españa         alma  europa    expresión              ,presidencia
0,  gobierno  españa  respuesta inmediata   acontecimientos  afganistan  esencial  proteger   ciudadanos  colaboradores   principal objetivo  gracias    hombres  mujeres   años  trabajado  mejorar  condiciones  país   ,presidencia
0,quiero agradecer     realizando  cuerpos  fuerzas  seguridad    ffaa  personal diplomático    reivindicar  memoria    españoles fallecidos   años               laespañaquehacemos   ,interior
0,europa responde apoyada     valores básicos                      solidaridad    miembros    personas  peor   pasando      mujeres  niñas           laespañaquehacemos   ,inmigracio
0,     sembrado  semilla   corazón   afganos      tiempos  oscuros   recuerdo                         semilla  germinará          defendiendo  ddhh         laespañaquehacemos   ,autopromocio
0,   directo  comparecencia  presidente  gobierno      base aérea  torrejón  ardoz    laespañaquehacemos   ,presidencia
0,  llegado  dubái   vuelo   fuerzas armadas españolas  110 pasajeros  procedentes  afganistán     próximas horas  evacuados  españa   continúan  labores  repatriacion  acogida coordinadas           ,inmigracio
0,torrejón  ardoz   hub  europeo   refugiados afganos   periódico    ,autopromocio
0,  días     presidente  gobierno    visitará   hub   recepción instalado   base aérea  torrejón  ardoz                   12 15   síguelo  directo   redes sociales    ,presidencia
0,  catalunya superem  4 8 milions  persones  pauta completa  vacunació   gràcies  compromís   responsabilitat    baixem  guàrdia   ,presidencia
0,  directo intervención  ministro    presidencia  félix bolaños    llegada   base aérea  torrejón   avión     realiza labores  repatriación  afganistán   ,accio exterior i govern obert
0, cumplen 13 años  fatídico accidente  vuelo  jk5022  spanair     fallecieron 154 personas    recuerdo   víctimas    afecto   familiares  amigos       memoria ,interior
0, psc decidirá  septiembre  fecha    illa relevará  iceta  frente  partido  daniel g  sastre      ,interior
0,  esfuerzo  centra                      reunión   aliados      reflexionar   situación       mirar   futuro              laespañaquehacemos   ,presidencia
0,charles michel  ursula von der leyen visitan  sábado  campamento  refugiados afganos  torrejón  nieves goicoechea     vía  ,autopromocio
0, gobierno         trabajando    crisis  afganistán    crisis  haití    ofreciendo   ayuda humanitaria  colaboración internacional necesaria               laespañaquehacemos   ,accio exterior i govern obert
0, evacuación   situación compleja    países  enfrentamos        gobierno  españa     cejará   empeño   evacuar        colaboradores       dejaremos   atrás             ,presidencia
0,  vuelo  repatriados   rumbo  dubái    mañana    06 30 horas   despegado   aeropuerto  kabul  avión a400m   fuerzas armadas    españa  evacuando   grupo  110 personas  afganistán ,inmigracio
0, psc   grup  parlament   presentat  peticions informació   641  seguit  vox   comuns   oposició registra   2 000 preguntes escrites  govern  inici   legislatura   vía  ,presidencia
0,   registramos       iniciativa   situación   mujeres   niñas  afganistán      proposición   ley apuesta   apoyo internacional   situación   mujeres afganas   ,inmigracio
0, pg     preside   reunión  grupo    supervisa  repatriación  contingente español  afganistán    encuentro    coordinado   ministro    presidencia  asisten  titulares   ministerios implicados   proceso   ,accio exterior i govern obert
0, ministro escrivá  recibido  mañana   familias llegadas        hablado      agrupaciones familiares   venido    avión    trasladado  problemas concretos  inquietudes           ,autopromocio
0, noche        recibido   grupo  familias afganas evacuadas  país       emocionante   trabajado intensamente          preparado   acogida   personas      ,presidencia
0, continuamos   día        pierdas  1 hora  entrevista       ministro                  12 00h     puedes seguirla  directo       laespañaquehacemos     ,presidencia
0, balance  positivo      gobierno  volcado  traer    ciudadanos          colaborado  españa    ue              laespañaquehacemos   ,presidencia
0,  70    población diana  españa    pauta completa  vacunación  alcanzamos  30m  personas totalmente protegidas      camino  gracias   cc aa     profesionales sanitarios    ciudadanía   compromiso   proceso  vacunación   ,presidencia
0,    darrer informe      catalunya      70    població té  pauta completa    vacunacovid19       80   rebut   dosi       gràcies      professionals    possible    yomevacunoseguro   psc     ,presidencia
0,españa promueve  declaración   ue  velar   seguridad   derechos   mujeres  niñas  afganistán   ofremos  apoyo humanitario  garantizar  integridad   consenso   27   sumado  países     ue   ,inmigracio
0,  seguido  sobrecogidos   acontecimientos  afganistán    gobierno               ofrecer   socios      país   puerto seguro  entrada  eu   refugiados  huyen   terrible crisis        ,presidencia
0,arribada  9 000 m   fons europeus  permetrà dinamitzar economia  fer  salt important    cohesió social  territorial   igualtat  gènere   transició ecològica   transformació digital          camí   reconstrucció   ,presidencia
0,participant  cambrils   any     acte organitzat      record   víctimes  atemptats   17a  2017     memòria     campdetgn   cat  ,educacio
0,españa recibe   9 000 millones  euros   fondos europeos   vanguardia    ,presidencia
0,  avión español   salido  dubái rumbo  kabul  evacuar   grupo  españoles  colaboradores  afganistán     aeronave medicalizada   fuerzas armadas  salido  mañana  madrid  dubái  colaborar   labores  repatriación   ,interior
0,      gustado   servicio      mejorar  vida   personas      entrevista          psc      ,presidencia
0,  aprobación   ley  sociedad   humana    democrática     definitiva   sociedad      portavoz  derechos sociales  diputada  barcelona     defendió   leydeinfancia   pleno  15  abril  2021   ,drets socials
0,   canción   remanso  amor    lucero   remanso     nudo       suspiro  remanso  grito    18 agost  1936    assassinat federico garcía lorca     oblidem  tinguem memòria    psc     ,presidencia
0, cumplen  años   terribles atentados   barcelona   cambrils     17a  volvemos   rambla  recordar  homenajear    víctimas    familias  frente  odio   barbarie terrorista   defenderemos  libertad   convivencia   democracia  ,interior
0,    comissió europea  transferit  espanya   9 000 milions    fons europeus  finançar   planderecuperación       notícia   permetrà fer inversions  matèries clau   transició ecològica  habitatge  educació   sanitat    psc     ,presidencia
0,  oblidem   sentit record   víctimes  atemptats   barcelona   cambrils   4 anys    catalunya  terra  pau  convivència   violència  odi   tenen cabuda    17a  ,interior
0,recordamos   víctimas   cuarto aniversario   atentados   barcelona   cambrils    apoyo  solidaridad   familias   frente  terrorismo  unidad   defensa   valores democráticos   convivencia   paz      memoria   17a  ,interior
0,cuarto aniversario   atentados   barcelona   cambrils     unimos   recuerdo emocionado   víctimas    apoyo   familias    defensa   valores democráticos   convivencia   paz frente  terrorismo        memoria   17a  ,interior
0, importante  garantizar    regreso  personal diplomático   funcionarios españoles     embajada  kabul     salido 2 aviones   ffaa  dubái   esperamos proceder     repatriaciones     fernando grande marlaska  ,interior
0,   17a             batet       espadaler  assistit  homenatge  record   víctimes  atemptats   barcelona   cambrils       famílies     record     psc     ,presidencia
0, años    terribles atentados terroristas  barcelona  cambrils seguimos recordando   víctimas    familias    frente  odio   violencia seguiremos construyendo sociedades  diversas  tolerantes  libres    17agosto  ,justicia
0,  años  barcelona  cambrils sufrían  terror   calles    recordamos   víctimas   terribles atentados   mirada puesta   presente  futuro  paz  convivencia    sociedad libre  odio  barbarie   avanza  progresa  unidad   17a  ,presidencia
0,      17a    anys  terribles atemptats   barcelona   cambrils   portem  anys demostrant   catalunya amor  venç odi      solidaritat   víctimes    famílies  éssers estimats     cors    psc     ,interior
0, aviones     listos   repatriación  personal   embajada  afganistán  colaboradores  españoles  quedan   país    comunidad internacional debemos garantizar  seguridad  dignidad  pueblo afgano  especialmente    vulnerables   ,accio exterior i govern obert
0,   comunitat internacional treballi    integritat  assegurar vies segures  garanteixin  dret asil  protecció internacional   ,accio exterior i govern obert
0,mostrem   profunda preocupació   situació   dones  nenes afganeses  patiran  situació extrema vulnerabilitat  privació  drets  llibertats ,drets socials
0,reclamem   ue   comunitat internacional  resposta urgent  unida  contundent  ajudi  poble afganès  transitar    solució pacífica  inclusiva  duradora  respecti  drets humans  horitzó     abocar    esforços ,drets socials
0,reconeixem  esforços        realitzar  necessària evacuació  repatriació    residents espanyols  personal  ambaixada    afganesos   col laborat  exèrcit   cooperació espanyola    temps  presència  país,salut
0,      cat  impactats   consternats  pels darrers esdeveniments  afganistan    retirada  exèrcit  eua   col lapse    precària institucionalitat   presa  control  país  mans  talibans ,salut
0,acabo assabentar    mort  company félix rodríguez pardo  veterà militant socialista  dirigent sindical  hidroelèctrica  catalunya   anys   transició    excel lent orador  sit tibi terra levis  company   recordem   ,interior
0,    situación   afganistán      gob  españa  puesto  marcha   mecanismos precisos  garantizar  seguridad  retorno   españoles   ciudadanos afganos  colaboraron       fernando grande marlaska       laespañaquehacemos   ,interior
0, setmana     enviat 393 120 dosis  vacunes pfizer     lliurades  personal  sanitat exterior       generalitat   vacunació avança imparable    sincer agraïment      possible   ,presidencia
0, hospitales      empiezan  criba  voluntarios   ensayo clínico   vacuna española    covid19   farmacéutica hipra    noticia  importante adelanto   permitirá seguir luchando   pandemia  ,autopromocio
0,   situación  afganistán      prioridad   retorno    ciudadanos españoles     ciudadanos afganos   colaborado       riesgo   seguridad      fernando grande marlaska     ,interior
0,    instituciones  interesadas   integridad  menor   interés superior        ceuta  adquirido  tutela    menores  entraron   irregular     esfuerzo importantísimo       fernando grande marlaska     ,accio climatica alimentacio i agenda rural
0,   garantías   menores   derechos    garantizados       garantías  reciben  comunicaciones directas  ceuta   autoridades competentes  protección   infancia  marruecos      fernando grande marlaska     ,drets socials
0, retorno asistido   menores  ceuta         expulsión    retorno     realiza   marco normativo   acuerdo  2007  españa  marruecos      favor  interés  menor      fernando grande marlaska     ,presidencia
0,entrevista  12  diciembre  2020    incredulidad        burla   derecha política    anunciaba   final  verano  70    población  vacunada    llegado  72     cat  ,presidencia
0,  ministre  sanitat       anunciar    l  creure   bona feina      70 1    población  vacunable   españa   recibido  pauta completa  vacunación  ,presidencia
0, confirma assassinat masclista  dona  30 anys  sant vicenç  castellet  bages   malauradament   any   32  dones assassinades   avançar   lluita   xacra     suport  escalf   filla   familiars   víctima   ,igualtat i feminismes
0,7  0         ,autopromocio
0,derechos digitales    quedará desprotegido      refuerza  derechos   ciudadanía      genera certidumbre   sociedad    realidad digital      aumenta  confianza   personas   disrupción  representa  tecnología     laespañaquehacemos      ,drets socials
0,  confirma  asesinato machista   mujer  30 años  barcelona  debemos seguir trabajando     instituciones    apoyo    sociedad   parar   violenciadegénero   permitiremos   paso atrás     cariño   familia  seres queridos   ,interior
0,         precio   luz       precio  mercado mayorista   traduce     factura    gobierno   trabajando      cargos   fiscalidad   cambios estructurales   laespañaquehacemos   psc     ,presidencia
0,   mundo  vacunación   pecho sacamos         ,autopromocio
0, líneas  acción    requerir  respaldo    parlamento      grupos parlamentarios    mano aprobar  proyectos  ley  influyen positivamente   factura   ciudadanos    laespañaquehacemos           ,interior
0, gobierno   mantener      escudo social     tratamiento fiscal adecuado  paliar  precio   factura   luz   consumidores    impulso programas  techos solares  autoconsumo    laespañaquehacemos           ,presidencia
0, gobierno        día     eliminar  impuesto      facilitar  autoconsumo    proteger  consumidor vulnerable    laespañaquehacemos           ,presidencia
0, precio  mercado mayorista   traduce     factura        consumidores  indexada  consumición  mercado mayorista   gobierno   trabajando  cargos  fiscalidad    laespañaquehacemos           ,presidencia
0, vacunación  españa avanza imparable gracias     profesionales sanitarios    29m  personas   pauta completa   situamos    país  mundo    porcentaje  población     dosis   seguimos     ,salut
0,mujeres  maría domínguez remón  sociedades mejores  1  alcaldesa   españa democrática  defensora   igualdad    educación universal   asesinada   fascismo   voz  imborrable       historia     dondehaypartido        ,igualtat i feminismes
0,  días  comenzamos  viernes celebrando  espectacular evolución  ritmo  vacunación  españa    increíble respuesta   sanidad pública   población comprometida  confía   vacuna          ,accio climatica alimentacio i agenda rural
0,seguint   preocupació  informacions   arriben   ifpoblademassaluca    solidaritat   persones    desallotjades    agraïment    efectius   treballant  extinció  foc   ,presidencia
0, compromiso    seguir trabajando  impulsar  cambios estructurales  redoblar  apuesta   renovables         presente   futuro     razones climáticas  económicas    avanzamos   horizonte transformador  beneficio     ,presidencia
0,   año  experimentando  subida  precio   energía  repercute   facturas   luz  llegan   casas            ,accio climatica alimentacio i agenda rural
0,seguint  preocupació incendi    poblademassaluca  vull enviar      equips   treballant  extinció   ànims   persones desallotjades    risc incendi  extremadament alt    catalunya    plau  extremem  prudència   ,presidencia
0,   presidenta  congreso   diputados    batet     recomendación musical   verano      quieres    artista    disco     descúbrelo   artículo    infolibre     ,presidencia
0, taldiacomavui   12 agost  1888   començar  barcelona  congrés fundacional   ugt  sindicat socialista     desenvolupar  teatre jovellanos   comptar   participació  44 societats obreres     28  catalunya   ,presidencia
0,     joves   present   futur           necessàries polítiques  joventut reals  efectives   permetin     accedir   educació  qualitat    oportunitats  feina justes   emancipar    diainternacionaldelajoventut  psc     ,presidencia
0, días    dejo  recomendación cultural   verano   disco  voice      hiromi uehara   gracias    infolibre   espero   guste       ,accio climatica alimentacio i agenda rural
0,     ampliación  aeropuerto    palanca transformadora       herramienta  ciudad  país   permita abordar  éxito  transición económica  ecológica   urge               psc     ,presidencia
0, gobierno  destinado   1 300m  generación  autoconsumo  reduciendo  dependencia   mercados internacionales    seguir impulsando energías renovables  depender   gas   emisiones  co2  abaratar  factura           ,presidencia
0, factura   luz   tema   preocupa  ocupa       alta dependencia  gas   precio internacional  alta dependencia  emisiones co2     necesita  transformación           ,presidencia
0, vacuna española añadirá mejoras    existentes          variantes  virus     respuesta inmunitaria   ensayo preclínico     necesita  congelada   distribución        diario 24 horas   ,autopromocio
0,   vacuna desarrollada íntegramente  españa  espera       comience  producir  finales  octubre     disponible  principios  2022       diario 24 horas   ,presidencia
0,catalunya   as      independentista  añadir incertidumbre  caos   situación   viviendo  querer    ciudadanía  pretendes gobernar    suena    pantalla     unilateralidad fracasó     actualizándose   ,presidencia
0,    12 agost   133 anys  pablo iglesias posse  fundar  ugt  garantir  drets    treballadors   treballadores    felicitats           133aniversariugt  psc     ,interior
0,          autoritzat  1r assaig clínic   vacuna  hipra sars cov 2       1a vacuna desenvolupada íntegrament  esp provada  humans   1r assaig clínic  fase 1   realitzarà  hospital clínic d bcn   josep trueta d grn  obro fil  ,autopromocio
0,  prat  viendo cambios  importantes   patrones  movilidad      proyecto   hará    garantías ambientales    saldrá       puesto  duda   deba                 ,autopromocio
0, consumidores necesitan beneficiarse   abaratamiento producido   energías renovables      consideramos  europa  intervenir   mercado eléctrico   problema      regulación desfasada            ,inmigracio
0,europa   intención  permitir cambios   sistema marginalista        mecanismos especiales  consumidores vulnerables  contamos   tarifa regulada    allá  consumidores vulnerables  medios             ,inmigracio
0,  fortalecer  medidas   consumidores vulnerables  consumidores medios       dedicamos      recursos  financiar  medidas            ,autopromocio
0, gobierno  buscando  seguir    factores   dependen        perspectiva  medio   corto plazo  intentando reducir  impacto fiscal   factura            ,presidencia
0, anunci impacte  president    hipra  multinacional farmacèutica    amer  girona  rep autorització  provar  humans   vacuna   covid 19     espanya   ,presidencia
0,  col laboració   suport    hipra     gegant   lluita   pandèmia   treballar plegats  vèncer  virus     camí,presidencia
0, razones   esperanza      cifras  vacunación     60    población  pauta completa    autorización   ensayo clínico  humanos   vacuna española    crecimiento económico  creación              laespañaquehacemos   ,autopromocio
0,     inversión   ampliación  aeropuerto   prat    oportunidad    reducción neta  emisiones  carbono     contexto  emergencia climática       artículo           psc      ,presidencia
0,esforç  govern central pretén   revulsiu   2021  any   recuperació  indicadors econòmics demostren    camí   establiment  marc  relacions  potenciant  diàleg   cooperació  administracions   ajuden   ,presidencia
0, delegada  gobierno  catalunya aplaude  clima   cooperación  diálogo    generalitat   cunillera avisa    ampliación  aeropuerto  prat   hacerse          ,presidencia
0, catalunya compta   govern compleix  escenari  esperançador    deixo article   publica    relació   implicació  govern  enfortir economia    benestar      ,presidencia
0,  espacios públicos    personas   barreras       desarrollado  condiciones básicas  accesibilidad   discriminación   acceso    publicadas        ,interior
0, delegada  govern  posat èmfasi     vacunació    iniciar  passat 27  desembre   catalunya  rebut   9 784 880 dosis  vacunes    5 224 989 catalans  catalanes   rebut    dosis  data  5 agost   cumpliendo2021  ,presidencia
0, catalunya  rebut 7 770 m   govern espanya    semestre  any  enfortir economia    benestar     destacat  implicació  govern espanya destinant  fons  precedents  afrontar  efectes   pandèmia  ,interior
0, delegada  govern      ofert  matí  roda  premsa  mitjans  comunicació  valorar  grau  compliment  compromisos  govern   catalans  catalanes  gener  juliol  2021   cumpliendo2021  ,presidencia
0, territorios  pagan impuestos      pagan  personas residan  residan    rentas   decían    madrid   ahorrado 16 000 euros     falacia     beneficiado            zaragoza      ,interior
0,   ejecutivo    esfuerzo histórico  afrontar  necesidades   ciudadanía      quede atrás  cataluña    gobierno cumple   escenario  esperanzador      artículo         psc    ,presidencia
0, aprovechando  situación   fondos  empezar    cambios  transformación ecológica  necesitamos      medidas estructurales   marcha     invertir   transformación  país       zaragoza      ,accio climatica alimentacio i agenda rural
0, regulación  precio     cosa   ue      planteado  revisión  precios     aplicando medidas paliativas      tomado decisiones  harán   precio   luz  reduzca  medio plazo       zaragoza      ,accio climatica alimentacio i agenda rural
0, tribunales  justicia españoles   criterios     países     debemos  centrarnos    consecución   vacunación completa       obligatoriedad        zaragoza      ,interior
0, gobierno socialista puso  marcha concertada    concertada  igualitaria      objetivo      educación  privilegiados   educación publica  calidad       partido popular       zaragoza      ,presidencia
0,seguimos avanzando   inmunización colectiva  cumpliendo  objetivos marcados       60    población española   pauta completa     yomevacunoseguro  ,autopromocio
0,informe  evaluación global  naciones unidas     alteraciones  sistema climático   precedentes     modificaciones    subida  nivel  mar   irreversibles  miles  años  alertan  expertos  ipcc   ,presidencia
0, recordarem     terra   lleu   muere rosa maria piñol   cronista   literatura catalana  llàtzer moix  ,autopromocio
0,  futuro  caluroso    certeza  cuánto  depende        probable    década    calurosa  planeta  125 000 años    ,presidencia
0,   consellera  govern alternatiu  món agrari  pesca  alimentació  repte demogràfic    m ibarra visita alt berguedà   problemàtica   ramaderia  muntanya   ,presidencia
0, dilluns   vol dir    setmana       enviat vacunes pfizer     personal  sanitat exterior      lliurat 272 610 dosis   generalitat     protegir   important  reduir contagis  salvar vides   ,presidencia
0,   diálogo obliga  independentismo  salir   relato permanente    diputado    cat   congreso   zaragoza      rne  necesitamos abandonar  10 años  proceso   cataluña    aportado     ,presidencia
0, territorios  pagan impuestos   pagan  personas     pagan impuestos ciudadanos  madrid  ciudadanos  barcelona         pague        zaragoza      rne  ,presidencia
0,  compromiso colectivo  avanzar   proyecto progresista      mayoría parlamentaria  construye   acuerdo    fuerzas políticas      voluntad   entendimiento       zaragoza     rne  ,autopromocio
0, inversión  aeropuerto   prat     prevé   83 000 empleos directos  365 000 empleos globales     dirigido   vuelos   recorrido    respetará  medio ambiente  ampliará  espacio natural protegido        zaragoza     rne   psc     ,presidencia
0,  presentar  pge    fondos  recuperación europeos      oportunidad  mejorar  crecer        países   expectativas  crecimiento   ue         zaragoza      rne  ,autopromocio
0, equipo olímpico español   regalado momentos increíbles    juegosolímpicos   tokyo2020    orgullosos    actuación   deportistas  17 medallas  42 diplomas   gracias     país        elcorazóndeespaña  ,presidencia
0,   record  acompanyi     condolències    família  amics  companys    terra   lleu   ,autopromocio
0, familia socialista perdem   referent   terres  ebre    condol   familia  amistats   magda gòdia    terra   lleu  companya    ,cultura
0, emoción asistimos  acto     gobernadora  tokio   relevo   jjoo   alcaldesa  parís   hidalgo cediendo  bandera olímpica    presidente  comité internacional olímpico    parís   deporte español        ,accio exterior i govern obert
